loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,address
17000, 60 months,17.57,427.73,D,D4,Clinical Manager,7 years,RENT,60000,Source Verified,Jul-14,Fully Paid,debt_consolidation,Debt consolidation,25.84,Mar-96,12,0,13425,106.5,29,w,INDIVIDUAL,0,0,"47228 Amanda Dam
West Jeffreymouth, AK 70466"
5600, 36 months,7.69,174.69,A,A4,branch manager,5 years,RENT,96000,Not Verified,Oct-14,Fully Paid,credit_card,Credit card refinancing,9.89,Sep-98,13,0,5962,71.8,27,w,INDIVIDUAL,1,0,"826 Hobbs Field Apt. 902
Ronaldview, NE 30723"
18000, 36 months,13.11,607.45,B,B4,Pro are home health and private duty,10+ years,MORTGAGE,55000,Verified,May-13,Fully Paid,credit_card,Credit refi,14.33,Oct-96,14,0,10586,92.1,34,f,INDIVIDUAL,2,0,"4226 Robinson Drive
Port Hailey, MS 29597"
13000, 36 months,6.49,398.38,A,A2,Lead 3D Artist,4 years,RENT,67000,Source Verified,May-14,Fully Paid,debt_consolidation,Debt consolidation,14.65,Jun-02,6,0,12249,35.8,7,f,INDIVIDUAL,0,0,"5366 West Dam
Garciabury, GA 00813"
16250, 36 months,12.42,543,B,B4,Wells fargo bank ,5 years,RENT,53000,Not Verified,Dec-11,Charged Off,credit_card,debt consolidation loan,15.94,Jan-03,14,0,20201,37.2,30,f,INDIVIDUAL,,0,"9115 Mitchell Wall Apt. 064
Amyville, MI 30723"
28200, 60 months,16.29,690.13,C,C4,Reading Hospital,< 1 year,RENT,64000,Verified,Dec-12,Fully Paid,credit_card,Credit card refinancing,17.33,Jul-91,13,0,15263,34.3,31,f,INDIVIDUAL,0,0,"5631 Cooke Extensions
Jasonborough, ID 29597"
4800, 36 months,15.8,168.29,C,C3,Richlee Shoe Co,10+ years,RENT,31200,Not Verified,Sep-12,Fully Paid,debt_consolidation,Bill Pay Off,27.65,Nov-95,9,0,5570,57.4,22,f,INDIVIDUAL,0,0,"USNS English
FPO AP 22690"
9500, 36 months,7.26,294.47,A,A4,Engineer Operator,10+ years,MORTGAGE,70000,Source Verified,Dec-15,Fully Paid,credit_card,Credit card refinancing,18.29,Dec-99,9,0,4769,34.1,23,w,INDIVIDUAL,3,0,"PSC 9016, Box 1181
APO AA 22690"
33000, 36 months,9.8,1061.73,B,B3,Teacher,2 years,RENT,97000,Source Verified,Jan-16,Fully Paid,debt_consolidation,,13.9,Sep-05,4,0,3149,31.5,55,w,INDIVIDUAL,0,0,"7584 Byrd Ways Apt. 909
North Williamside, ME 30723"
2400, 36 months,10.16,77.63,B,B1,Sheraton Lake Buena Vista Resort,< 1 year,RENT,50000,Source Verified,Jun-13,Fully Paid,debt_consolidation,Race car,18.12,Sep-04,11,0,7859,32,24,f,INDIVIDUAL,2,0,"042 Dustin Run
West Annaland, AL 48052"
16000, 36 months,11.14,524.89,B,B2,Fannie Mae,9 years,MORTGAGE,70000,Not Verified,Jul-13,Fully Paid,debt_consolidation,consolidation,23.47,Oct-99,6,0,5672,54,20,w,INDIVIDUAL,3,0,"65695 Scott Row Apt. 124
Ochoahaven, MI 29597"
15000, 36 months,7.69,467.91,A,A4,Sales Manager,4 years,MORTGAGE,80000,Not Verified,Oct-14,Fully Paid,debt_consolidation,Debt consolidation,17.28,Aug-00,12,0,20467,62.6,28,w,INDIVIDUAL,3,0,"02877 Clark Valleys Apt. 094
South Reneeberg, AK 29597"
18000, 36 months,14.33,618.09,C,C1,US Coast Gaurd,6 years,RENT,40000,Verified,Mar-13,Fully Paid,debt_consolidation,Auto Loan,26.31,Jun-06,11,0,6403,39.3,24,f,INDIVIDUAL,1,0,"587 Kelly Knoll Apt. 614
New Stevenstad, TN 30723"
10000, 60 months,13.98,232.58,C,C3,Procure to Pay Accountant,< 1 year,MORTGAGE,43000,Source Verified,May-14,Charged Off,credit_card,Credit card refinancing,21.94,Jan-04,14,0,6484,30.6,19,w,INDIVIDUAL,0,0,"64332 Natalie Extensions Apt. 107
Bryanshire, ND 93700"
8400, 36 months,12.12,279.49,B,B3,Sumitomo Mitsui Banking,6 years,MORTGAGE,124526,Not Verified,Feb-13,Fully Paid,home_improvement,Home improvement,13.86,Apr-96,15,0,15238,61,28,f,INDIVIDUAL,2,0,"028 Bryant Lane
Jennifershire, UT 29597"
24575, 60 months,13.11,560.55,B,B4,ACM LLC,9 years,MORTGAGE,50000,Verified,Jun-12,Fully Paid,debt_consolidation,Loan,15.91,Dec-93,11,0,26658,39.2,34,f,INDIVIDUAL,8,0,"94627 Jason Row
North Dawn, IL 22690"
9600, 36 months,17.77,345.96,D,D1,NY Presbyterian,3 years,RENT,89000,Not Verified,Nov-12,Charged Off,credit_card,Credit loan,17.7,Nov-01,11,0,15701,82.6,27,f,INDIVIDUAL,0,0,"1769 Werner Key
North Bruceborough, NC 86630"
15000, 36 months,6.99,463.09,A,A3,Attorney,10+ years,RENT,69758.8,Not Verified,Feb-15,Fully Paid,debt_consolidation,Debt consolidation,25.24,Jun-94,12,0,19245,39,25,f,INDIVIDUAL,0,0,"206 Schmidt Forge Apt. 093
Royview, NV 00813"
21600, 60 months,24.5,627.68,F,F3,E9/SGM,10+ years,MORTGAGE,110000,Verified,Feb-15,Charged Off,other,Other,4,Apr-97,2,0,77558,73,9,w,INDIVIDUAL,0,0,"5530 Welch Burg Apt. 945
East Alexandraburgh, OH 93700"
25000, 60 months,17.27,624.95,D,D2,Senior Executive Assistant,10+ years,MORTGAGE,90000,Source Verified,Feb-16,Charged Off,debt_consolidation,Debt consolidation,24.41,Jul-00,20,0,30577,53.7,36,w,INDIVIDUAL,2,0,"4412 Stewart Spur Suite 591
Lake Michael, VA 48052"
6400, 36 months,10.99,209.5,B,B3,wiring personel,3 years,MORTGAGE,25000,Not Verified,Aug-14,Fully Paid,debt_consolidation,Debt consolidation,27.75,Dec-00,8,0,8546,55.5,14,w,INDIVIDUAL,1,0,"79256 Santos Lodge Apt. 359
New Perry, DC 05113"
8000, 36 months,12.99,269.52,C,C1,driver,1 year,MORTGAGE,59000,Not Verified,Jun-14,Charged Off,home_improvement,Home improvement,17.98,Jun-02,10,1,2203,16,27,w,INDIVIDUAL,2,1,"0795 Hampton Ports
Sotostad, AZ 70466"
10000, 36 months,14.09,342.22,B,B5,ballys las vegas,10+ years,RENT,40000,Not Verified,Sep-12,Fully Paid,debt_consolidation,debteraser,12.81,Jun-90,11,0,9912,46.5,20,f,INDIVIDUAL,0,0,"3458 Wallace Mountains Apt. 208
Madisonhaven, NC 05113"
12000, 36 months,19.22,441.21,D,D4,Faith Development Director,6 years,MORTGAGE,69000,Not Verified,Jan-14,Fully Paid,debt_consolidation,Debt consolidation,13.46,Aug-87,16,0,4957,75.1,24,f,INDIVIDUAL,2,0,"PSC 6224, Box 1965
APO AE 22690"
12500, 36 months,13.11,421.84,B,B4,AMBERLITE ELECTRIC,3 years,RENT,52000,Source Verified,Nov-12,Fully Paid,small_business,MY PROGRESS,13.04,Jul-07,7,0,14956,60.3,11,f,INDIVIDUAL,0,0,"551 Wilson Mission
Stevenchester, MT 30723"
12000, 36 months,14.16,411.07,C,C2,mechanic,2 years,MORTGAGE,70000,Source Verified,Apr-14,Charged Off,debt_consolidation,Debt consolidation,15.45,Jun-98,11,0,8502,49.2,38,f,INDIVIDUAL,2,0,"4413 Hall Causeway
New Davidland, NC 70466"
22400, 60 months,14.98,532.66,C,C3,Senior Pastor,10+ years,MORTGAGE,75000,Source Verified,Feb-14,Fully Paid,major_purchase,Major purchase,22.23,Oct-89,18,0,26834,40.3,50,f,INDIVIDUAL,5,0,"9995 Gonzalez Streets Apt. 735
New Jennifertown, WV 70466"
12000, 36 months,11.71,396.92,B,B3,pace collision,10+ years,RENT,62000,Not Verified,Dec-11,Fully Paid,debt_consolidation,no postage necessary,6.74,Jul-97,5,0,10725,90.9,15,f,INDIVIDUAL,,0,"2986 Marcus Inlet
Savageshire, WY 22690"
14000, 36 months,11.14,459.28,B,B2,Martingale Wharf Restaurant,1 year,RENT,55000,Not Verified,Nov-12,Fully Paid,debt_consolidation,Consolidate,20.86,Aug-02,8,0,7185,79.8,20,f,INDIVIDUAL,0,0,"422 Joshua Village
South Christopher, IN 70466"
9000, 36 months,13.11,303.73,B,B4,FedEx Freight,7 years,MORTGAGE,53000,Not Verified,Jun-12,Fully Paid,credit_card,credit card refi,18.48,Nov-94,10,0,9021,52.8,24,f,INDIVIDUAL,6,0,"Unit 9965 Box 3120
DPO AE 00813"
16000, 36 months,9.71,514.1,B,B1,community memorial hospital,10+ years,MORTGAGE,80000,Verified,Jul-13,Fully Paid,debt_consolidation,Debt consolidation,10.71,Nov-85,5,0,17774,74.1,11,f,INDIVIDUAL,4,0,"PSC 0318, Box 6740
APO AE 70466"
24000, 60 months,14.49,564.56,C,C4,Federal Agent,9 years,MORTGAGE,98500,Source Verified,Jul-14,Fully Paid,home_improvement,Home improvement,25.69,Dec-65,14,0,19479,88.9,39,w,INDIVIDUAL,1,0,"231 Boone Springs Suite 159
Suzanneville, VA 00813"
35000, 36 months,14.3,1201.33,C,C1,Executive Director,3 years,MORTGAGE,93730,Verified,Nov-13,Fully Paid,debt_consolidation,Debt consolidation ,18.66,Jan-01,12,0,20267,32.7,31,f,INDIVIDUAL,4,0,"115 Miller Pines Apt. 376
Lake Jenniferbury, MD 29597"
28000, 60 months,19.97,741.37,D,D5,Operations Manager,10+ years,MORTGAGE,100000,Verified,Jan-14,Fully Paid,debt_consolidation,Debt consolidation,31.83,Sep-95,12,0,37569,75.7,22,f,INDIVIDUAL,1,0,"79107 Hill Lake Suite 664
New Brandonburgh, ND 05113"
20275, 60 months,19.19,528.07,E,E3,HR,10+ years,MORTGAGE,40596,Source Verified,Jun-15,Fully Paid,credit_card,Credit card refinancing,23.59,Jul-95,6,0,13264,79.9,15,w,INDIVIDUAL,1,0,"USNV Lucas
FPO AE 29597"
18000, 36 months,20.99,678.06,E,E3,Defense Threat Reduction Agency,2 years,RENT,103520,Source Verified,Jun-12,Fully Paid,debt_consolidation,Debt Consolidation,15.9,Oct-02,25,0,18321,82.5,61,f,INDIVIDUAL,3,0,"4365 Adams Fort
Stevenland, AR 70466"
13000, 36 months,7.9,406.78,A,A4,Union Bank,7 years,MORTGAGE,107256,Source Verified,Apr-13,Fully Paid,debt_consolidation,consolidation,7.77,Jan-86,11,0,13422,30.8,16,w,INDIVIDUAL,4,0,"59539 Victoria Point Suite 259
Lunafurt, NC 70466"
11250, 36 months,16.49,398.25,D,D3,roll prep,10+ years,RENT,55000,Source Verified,Nov-14,Fully Paid,major_purchase,Major purchase,11.32,Feb-05,7,3,3744,68.1,10,w,INDIVIDUAL,1,3,"500 Carl Knolls Suite 703
New Gina, AL 30723"
11500, 36 months,13.11,388.1,B,B4,Burleson ISD,1 year,RENT,33900,Verified,Feb-13,Fully Paid,debt_consolidation,CC,22.55,Dec-99,10,0,24772,55,26,w,INDIVIDUAL,0,0,"92361 Rachel Mall
Lewisland, AK 70466"
24000, 36 months,11.14,787.33,B,B2,Fulton Financial,7 years,MORTGAGE,85500,Verified,Jan-13,Fully Paid,debt_consolidation,Good credit/ income. short term loan,5.15,May-00,6,0,35197,89.1,13,f,INDIVIDUAL,2,0,"770 Sarah Land
Jessicaborough, KS 30723"
23000, 60 months,17.57,578.69,D,D4,Pantry,10+ years,OWN,70000,Verified,Aug-14,Charged Off,home_improvement,Home improvement,22.18,Sep-96,12,1,6527,69.4,50,w,INDIVIDUAL,10,1,"96186 Gregory Fork Apt. 829
Lake Douglasburgh, OR 70466"
28000, 60 months,11.14,610.75,B,B2,United States Air Force,10+ years,MORTGAGE,120000,Verified,Jan-13,Fully Paid,credit_card,B of A CC Refinance,25.47,Dec-98,27,0,34975,8,52,f,INDIVIDUAL,7,0,"1629 Jimenez Ferry
East Jessica, NJ 29597"
21250, 60 months,14.27,497.43,C,C2,PVHMC SLEEP CENTER,5 years,RENT,36000,Verified,Sep-11,Charged Off,debt_consolidation,DEBT C,21.07,Oct-98,20,0,16753,40.9,25,f,INDIVIDUAL,,0,"00332 Haney Gateway
East Kent, NM 11650"
12000, 36 months,11.99,398.52,B,B3,express tire,10+ years,MORTGAGE,45000,Source Verified,Sep-13,Charged Off,credit_card,Credit card refinancing,23.23,Mar-98,9,0,19156,50.5,23,w,INDIVIDUAL,3,0,"47693 Kellie Path Suite 717
Rebeccashire, IL 22690"
17000, 36 months,14.47,584.91,C,C2,,,MORTGAGE,80000,Source Verified,Jan-14,Fully Paid,credit_card,Credit card refinancing,18.78,Jun-00,10,0,12642,74.8,29,f,INDIVIDUAL,7,0,"16562 Andersen Plaza
North Kelseyton, MA 30723"
27500, 60 months,9.99,584.16,B,B3,IT Project Manager,2 years,MORTGAGE,64568,Not Verified,Sep-15,Fully Paid,credit_card,Credit card refinancing,11.91,Jan-98,6,0,27697,97.9,17,w,INDIVIDUAL,3,0,"9134 Williams Plaza
Richardmouth, SC 70466"
10000, 36 months,17.27,357.88,D,D1,R-Club,10+ years,MORTGAGE,35000,Not Verified,Jul-12,Fully Paid,credit_card,Consolidation Loan,21.84,Mar-89,18,0,21245,60.5,36,f,INDIVIDUAL,0,0,"USNS Reyes
FPO AP 00813"
9600, 60 months,10.37,205.73,B,B3,Wesley Community Services,3 years,RENT,36000,Source Verified,Mar-11,Fully Paid,home_improvement,Driveway loan,1.1,Aug-98,9,0,776,3.1,18,f,INDIVIDUAL,,0,"9158 Elizabeth Burgs Apt. 178
New Michaelborough, VT 00813"
7000, 36 months,18.55,255.01,D,D2,csa,2 years,RENT,30000,Not Verified,Oct-13,Fully Paid,debt_consolidation,Debt Consolidation ,5.04,Oct-09,8,0,3819,49,10,f,INDIVIDUAL,0,0,"1485 Jackson Cove
Campbellfurt, RI 22690"
9600, 36 months,8.39,302.56,A,A5,Design Engineer,6 years,RENT,60000,Source Verified,Aug-14,Fully Paid,debt_consolidation,Debt consolidation,0.76,Jan-08,8,0,232,4.2,29,w,INDIVIDUAL,0,0,"97691 Miller Roads Suite 157
West Angela, NC 22690"
20825, 60 months,19.99,551.62,E,E4,RN,10+ years,RENT,62000,Verified,Jul-15,Charged Off,credit_card,Credit card refinancing,31.71,Dec-99,21,1,26782,78.1,39,w,INDIVIDUAL,0,1,"384 Mueller Gardens
East Elizabeth, RI 30723"
35000, 36 months,14.49,1204.57,C,C4,Construction Manager,10+ years,RENT,230000,Verified,Jun-14,Fully Paid,debt_consolidation,Debt consolidation,7.18,Apr-94,8,0,55942,62,20,w,INDIVIDUAL,1,0,"PSC 3898, Box 4421
APO AP 00813"
30000, 36 months,18.99,1099.53,D,D4,Pilot ,4 years,OWN,185000,Source Verified,May-16,Fully Paid,debt_consolidation,Debt consolidation,20.27,May-02,10,1,20298,85.3,19,w,INDIVIDUAL,3,0,"2678 Kim Wells Apt. 807
West Kristina, TN 22690"
7100, 36 months,9.99,229.07,B,B1,Manager,4 years,MORTGAGE,75000,Verified,Oct-13,Fully Paid,debt_consolidation,consolidation,28.99,Jun-97,11,0,37180,80.1,19,f,INDIVIDUAL,5,0,"822 Lynch Cliff
Starkhaven, SC 22690"
16000, 36 months,14.99,554.57,C,C5,Asst. manager,10+ years,MORTGAGE,49500,Not Verified,Nov-14,Fully Paid,other,Other,30.16,Dec-99,15,0,15747,60.3,44,f,INDIVIDUAL,1,0,"50247 Parker Inlet
Brookemouth, CO 29597"
12375, 36 months,12.35,413.1,B,B4,Ellis County Music Center,5 years,MORTGAGE,55000,Not Verified,Jul-13,Fully Paid,debt_consolidation,freedom loan,20.12,Aug-80,13,1,10622,52.3,37,w,INDIVIDUAL,7,1,"8063 Harris Throughway
South Sara, MD 22690"
5575, 36 months,17.57,200.35,D,D4,Senior Desktop Support Technician,2 years,MORTGAGE,72400,Source Verified,Oct-14,Fully Paid,debt_consolidation,Debt consolidation,36.72,Apr-97,19,0,23679,80,71,f,INDIVIDUAL,6,0,"398 Rodriguez Harbor
Davisport, NJ 30723"
10000, 36 months,12.85,336.22,B,B4,RN,2 years,RENT,60000,Not Verified,Jan-14,Fully Paid,debt_consolidation,Paying off the car and some bills,26.72,Oct-02,14,0,16570,66,27,f,INDIVIDUAL,1,0,"134 Lopez Lane Suite 544
Maciasburgh, HI 22690"
11500, 36 months,12.12,382.63,B,B3,Alto ISD,2 years,MORTGAGE,33000,Verified,Apr-13,Fully Paid,debt_consolidation,Blessed,30.36,Jul-04,12,0,16149,35.6,18,w,INDIVIDUAL,1,0,"21442 Garcia Harbors
Lake Danielport, IL 48052"
7000, 36 months,14.99,242.63,C,C5,Classified Manager,10+ years,MORTGAGE,30000,Source Verified,Jan-15,Charged Off,debt_consolidation,Debt consolidation,16.92,Sep-95,7,0,12843,88,10,f,INDIVIDUAL,0,0,"728 Martin Falls Suite 147
Lake Michaelchester, GA 86630"
20000, 36 months,11.99,664.2,B,B3,Contact Center Practice Lead ,1 year,MORTGAGE,160000,Source Verified,Oct-13,Fully Paid,credit_card,Credit Card Debt Consolidation,23.15,Aug-89,15,0,54336,83.8,44,f,INDIVIDUAL,9,0,"4039 Michael Forges
New Timothyberg, DC 22690"
15000, 36 months,9.76,482.32,B,B1,Cape Fear Valley,1 year,RENT,65000,Not Verified,Feb-12,Charged Off,other,Personal loan,10.67,Jun-05,7,0,4073,33.7,13,f,INDIVIDUAL,,0,"99140 Erik Point Suite 802
Yangstad, ND 93700"
20000, 60 months,7.89,404.48,A,A5,Business Analyst,2 years,MORTGAGE,72000,Source Verified,Jun-15,Fully Paid,debt_consolidation,Debt consolidation,10.18,Aug-06,9,0,9870,34.3,25,w,INDIVIDUAL,1,0,"394 Welch Extensions
South Anita, ME 70466"
15000, 36 months,7.69,467.91,A,A4,Client Success Manager,< 1 year,MORTGAGE,105000,Source Verified,Oct-14,Fully Paid,credit_card,Credit card refinancing,19.84,Jan-96,11,0,10952,47.8,28,w,INDIVIDUAL,2,0,"4588 White Inlet
Walkerfurt, NM 00813"
15000, 36 months,21.15,566.29,E,E2,Absecon Manor,10+ years,RENT,40000,Not Verified,Aug-13,Fully Paid,other,Other,19.08,Sep-02,10,0,21990,86.4,18,f,INDIVIDUAL,0,0,"42842 Morales Squares Apt. 235
Maryton, KY 05113"
22000, 36 months,18.55,801.44,D,D2,Shell Oil,10+ years,MORTGAGE,98600,Source Verified,Sep-13,Fully Paid,debt_consolidation,CC Consolidation,14.29,Mar-95,17,0,28960,81.1,33,f,INDIVIDUAL,0,0,"053 Green Extensions Suite 902
North Lucasfurt, DC 70466"
8000, 36 months,11.99,265.68,B,B3,Mechanic,4 years,MORTGAGE,76000,Verified,Oct-13,Fully Paid,other,backhoe,15.06,Sep-77,12,0,6826,25.9,30,f,INDIVIDUAL,3,0,"6921 Morris Squares
Fordhaven, CO 70466"
12000, 36 months,18.49,436.79,D,D2,General Services Administration,10+ years,RENT,146000,Verified,Mar-13,Fully Paid,major_purchase,Major purchase,12.76,Sep-95,8,0,5389,96.2,28,w,INDIVIDUAL,2,0,"527 Dickson Stream
Port Brandymouth, PA 48052"
19125, 36 months,10.99,626.04,B,B2,RETAIL MANAGER,9 years,MORTGAGE,43514.64,Verified,Dec-13,Fully Paid,debt_consolidation,CONSOLIDATION,7.31,Aug-03,11,0,10803,26.3,19,w,INDIVIDUAL,2,0,"350 Angela Cove
New Donaldland, WY 48052"
25000, 36 months,11.99,830.24,B,B5,VP dealer relations,10+ years,MORTGAGE,112000,Source Verified,Feb-15,Fully Paid,debt_consolidation,Debt consolidation,11.14,Jun-93,10,0,42261,70.7,21,w,INDIVIDUAL,8,0,"37829 Thomas Mission Suite 963
Rodriguezport, NV 00813"
13825, 36 months,12.99,465.76,C,C1,Physicist,1 year,RENT,65000,Source Verified,May-14,Fully Paid,small_business,Business,16.73,Dec-07,10,0,339,2.9,19,f,INDIVIDUAL,0,0,"287 Julie Point
Lake Anthonybury, HI 48052"
18000, 36 months,13.11,607.45,B,B4,DHS/TSA (federal govt),8 years,RENT,134000,Verified,May-13,Fully Paid,debt_consolidation,Debt consolidation,14.52,Nov-92,11,0,50561,84,33,f,INDIVIDUAL,7,0,"Unit 6500 Box 9034
DPO AA 48052"
35000, 60 months,21.48,956.35,E,E5,Sr. Tech Coordinator,10+ years,OWN,86000,Verified,Jan-16,Fully Paid,debt_consolidation,Debt consolidation,13.79,Sep-88,13,0,9890,26.4,42,f,INDIVIDUAL,1,0,"920 Michelle Skyway Suite 466
Lake Joshuafurt, HI 70466"
30000, 36 months,18.49,1091.97,D,D2,Boeing Satellite Systems,10+ years,RENT,83000,Source Verified,Nov-12,Fully Paid,debt_consolidation,Credit Card consolidatiton,20.83,Jul-95,8,0,28197,66.8,18,w,INDIVIDUAL,0,0,"8288 Lori Causeway Apt. 481
Lake Gina, AK 05113"
8000, 36 months,10.15,258.71,B,B2,physical therapist asstsiant,8 years,RENT,40000,Not Verified,Jul-14,Fully Paid,credit_card,Credit card refinancing,19.39,Mar-94,8,0,15940,80.1,15,f,INDIVIDUAL,0,0,"53382 Janice Street Apt. 397
Watsonton, MI 29597"
4200, 36 months,16.55,148.81,D,D2,RN ,2 years,MORTGAGE,65000,Verified,Nov-15,Fully Paid,home_improvement,Home improvement,12.41,Sep-94,10,0,851,47.3,24,f,INDIVIDUAL,1,0,"84859 Schaefer Route Apt. 346
Lake Waynestad, KS 22690"
5375, 36 months,11.99,178.51,B,B3,maintenance,1 year,RENT,35000,Not Verified,Nov-13,Charged Off,credit_card,Credit card refinancing,20.16,May-00,15,0,14829,44.3,41,w,INDIVIDUAL,0,0,"41568 Russell Highway Suite 780
Port Virginia, ND 22690"
17000, 36 months,6.92,524.29,A,A4,Retoucher,2 years,RENT,104000,Not Verified,Apr-15,Fully Paid,credit_card,Credit card refinancing,17.24,Sep-01,15,0,11145,36.9,35,w,INDIVIDUAL,0,0,"149 Stevens Points
West Richardstad, TN 29597"
9700, 36 months,16.55,343.67,D,D2,Bus driver,10+ years,RENT,27000,Source Verified,Jun-15,Fully Paid,debt_consolidation,Debt consolidation,32.18,Feb-00,8,0,8216,58.3,21,f,INDIVIDUAL,1,0,"6372 Richard Streets
North Sarahland, UT 30723"
7000, 36 months,13.98,239.18,C,C1,Teacher,4 years,RENT,44480,Not Verified,Dec-13,Fully Paid,debt_consolidation,OperationDC,18.54,Jul-03,11,0,6767,51.7,47,f,INDIVIDUAL,0,0,"Unit 7782 Box 8388
DPO AP 30723"
3000, 36 months,13.49,101.8,C,C2,Bookkeeper,2 years,OWN,80000,Source Verified,Sep-16,Fully Paid,debt_consolidation,Debt consolidation,3.72,Oct-87,18,0,10956,26.9,52,f,INDIVIDUAL,5,0,"Unit 2354 Box 0583
DPO AA 22690"
24000, 36 months,11.53,791.77,B,B5,Associate,9 years,RENT,280000,Verified,May-15,Fully Paid,house,Home buying,0.42,Oct-05,7,0,2341,6.5,10,f,INDIVIDUAL,1,0,"012 Daniel Falls
South Madison, GA 00813"
28000, 36 months,7.69,873.42,A,A4,Vice President,10+ years,RENT,300000,Source Verified,Aug-14,Fully Paid,debt_consolidation,Debt consolidation,2.67,Aug-97,14,0,10061,8.1,21,f,INDIVIDUAL,0,0,"559 Brandy Crest
Douglasbury, RI 22690"
18400, 60 months,17.27,459.97,C,C5,Durham VA Medical Center,3 years,RENT,41141,Verified,Feb-13,Fully Paid,debt_consolidation,Debt Consolidation,26.46,Oct-84,7,0,11745,33.4,16,w,INDIVIDUAL,0,0,"883 Dyer Course
New Stephanieside, OH 48052"
30000, 60 months,22.95,844.86,F,F1,Jorden Burt LLP,4 years,RENT,85000,Verified,Jul-12,Fully Paid,debt_consolidation,Bill Consolidation,17.64,Feb-94,10,0,28055,78.7,24,f,INDIVIDUAL,2,0,"Unit 8753 Box 1323
DPO AE 70466"
7000, 36 months,9.67,224.79,B,B1,Office Manager,< 1 year,RENT,27000,Not Verified,Nov-13,Fully Paid,debt_consolidation,Debt consolidation,12.13,Apr-03,12,1,7091,66.9,15,f,INDIVIDUAL,0,1,"USS Middleton
FPO AE 70466"
15000, 36 months,6.03,456.54,A,A1,FIrst Baptist Church,6 years,MORTGAGE,75000,Not Verified,Jul-13,Fully Paid,credit_card,Payoff,7.22,May-88,15,0,30160,20.3,21,w,INDIVIDUAL,2,0,"276 Tate Cliffs
Stevenfurt, TX 29597"
10000, 36 months,14.09,342.22,B,B5,Superior Court of California,10+ years,MORTGAGE,63000,Source Verified,Aug-12,Fully Paid,credit_card,Pay off Citibank Visa,11.71,Mar-95,8,0,16538,12.3,16,f,INDIVIDUAL,0,0,"7773 Walker Plaza Suite 215
West Tara, MD 70466"
8500, 36 months,8.49,268.29,A,A5,Valley National Bank,2 years,RENT,27000,Verified,Sep-11,Charged Off,major_purchase,Home Entertainment System,22.44,Aug-94,5,0,3961,40.4,10,f,INDIVIDUAL,,0,"186 Phillips Trail
Evansport, NY 93700"
13000, 36 months,10.74,424.01,B,B2,San Diego School Unifed,6 years,RENT,28000,Verified,May-12,Charged Off,credit_card,Credit Card,6.68,Mar-01,5,0,8445,93.8,22,f,INDIVIDUAL,0,0,"127 Powers Terrace
Williamsonview, WY 93700"
21600, 36 months,11.55,712.8,B,B3,Federal Reserve Bank,6 years,RENT,69000,Verified,Jul-13,Fully Paid,credit_card,Road to Healthier Finances,11.26,Nov-04,9,0,17580,70.3,17,f,INDIVIDUAL,0,0,"95348 Jeremy Plaza Apt. 801
East Jessica, OR 70466"
11000, 60 months,23.99,316.39,F,F3,Work Flow Specialist,5 years,RENT,53000,Verified,Jul-15,Charged Off,debt_consolidation,Debt consolidation,11.25,Oct-07,6,0,4783,64.6,7,w,INDIVIDUAL,0,0,"3683 Matthews Square
Scottchester, PA 70466"
14000, 36 months,13.11,472.46,B,B4,Department of Homeland Security ,3 years,MORTGAGE,60000,Not Verified,Aug-12,Fully Paid,debt_consolidation,Consolidated my debt to one payment  ,13.91,Jan-02,8,0,6274,43.3,16,f,INDIVIDUAL,1,0,"7150 Alexis Island
Oliviamouth, LA 00813"
4950, 36 months,18.85,181.08,D,D3,Fairmont Hot Srings,3 years,MORTGAGE,17000,Not Verified,Sep-13,Fully Paid,other,For what ever comes up,21.32,May-04,4,0,5944,91.4,7,f,INDIVIDUAL,0,0,"5030 Dalton Corners
East Jonfurt, IL 48052"
21000, 36 months,11.55,693,B,B3,woodgroup,5 years,MORTGAGE,110000,Verified,Aug-13,Fully Paid,credit_card,pay off ,21.95,Feb-92,14,1,16851,59.1,41,f,INDIVIDUAL,2,1,"USCGC Thompson
FPO AE 48052"
26200, 60 months,12.99,596,C,C1,Police Officer,5 years,MORTGAGE,100000,Source Verified,Aug-14,Fully Paid,debt_consolidation,Debt consolidation,6.42,May-03,16,0,80617,68.2,39,w,INDIVIDUAL,4,0,"340 Shaw Ways Suite 900
Port Philipchester, NV 70466"
6000, 36 months,10,193.61,B,B2,The International Rescue Committee,2 years,RENT,79000,Not Verified,Jan-11,Fully Paid,debt_consolidation,Debt Consolidation,2.9,Sep-07,4,0,2896,19.4,4,f,INDIVIDUAL,,0,"USNS Berg
FPO AE 29597"
12000, 36 months,11.67,396.69,B,B4,secretary,10+ years,MORTGAGE,30000,Not Verified,Nov-14,Fully Paid,home_improvement,Home improvement,32.08,Nov-98,12,0,5390,42.1,27,f,INDIVIDUAL,3,0,"5546 Garrett Island Apt. 028
Franklinland, MT 30723"
